Grid	Lat/Lon hddd.ddddd°
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories
Waypoint	Md1 Hyla	29-JUL-14 11:42:46	User Waypoint	N31.49951 W109.01896	1716 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Md1 Hyla1	30-JUL-14 12:03:34	User Waypoint	N31.50791 W109.00983	1682 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Md1 no Hb	30-JUL-14 14:01:05	User Waypoint	N31.51071 W109.00445	1684 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Md2 Nohb	01-AUG-14 10:45:48	User Waypoint	N31.48468 W109.02485	1806 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Md2m2 NOHB	31-JUL-14 16:50:59	User Waypoint	N31.52251 W108.96330	1625 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Md3M2 NohB	31-JUL-14 16:46:09	User Waypoint	N31.52276 W108.96328	1626 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Misc Construct	07-AUG-14 13:16:16	User Waypoint	N31.54913 W108.99547	1679 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Mosq Pc Mdsmhy	31-JUL-14 9:52:20	User Waypoint	N31.49767 W109.02110	1721 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Mtp Lg NoHB	30-JUL-14 10:46:24	User Waypoint	N31.50586 W109.01302	1697 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Mud Springs	03-AUG-14 15:38:38	User Waypoint	N31.39477 W110.38791	1705 m				Symbol & Name	Black	Flag, Blue							
Waypoint	No Noodle	01-AUG-14 10:48:43	User Waypoint	N31.48429 W109.02462	1805 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Pc 1M 1Sm Nohb	30-JUL-14 13:54:21	User Waypoint	N31.50989 W109.00620	1685 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Pc 1Md 1Sm Hyl	30-JUL-14 12:18:21	User Waypoint	N31.50803 W109.00938	1683 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Pc 1Sm 1Lg50M2	26-JUL-14 15:58:38	User Waypoint	N31.52501 W108.96864	1637 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Pc 1Sm 1Md	30-JUL-14 13:34:33	User Waypoint	N31.50909 W109.00702	1686 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Pc 1Sm 1Md Hyl	30-JUL-14 12:56:18	User Waypoint	N31.50823 W109.00872	1686 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Pc 2Lg Hyla	30-JUL-14 10:18:23	User Waypoint	N31.50628 W109.01329	1694 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Pc 2M 1L	25-JUL-14 15:33:13	User Waypoint	N31.48555 W108.94739	1602 m				Symbol & Name	Black	Flag, Blue							
